time: 899, x: 2394, y: 182.33331298828125, sound: 1
time: 905.7000000029802, x: 3568, y: 243.33331298828125, sound: 1
time: 911.7000000029802, x: 3592, y: 241.33331298828125, sound: 1
time: 915.6000000089407, x: 2357, y: 182.33331298828125, sound: 1
time: 922.3999999910593, x: 3629, y: 235.33331298828125, sound: 1
time: 932.1000000089407, x: 2336, y: 182.33331298828125, sound: 1
time: 939, x: 3685, y: 227.33331298828125, sound: 1
time: 942.2000000029802, x: 3696, y: 227.33331298828125, sound: 1
time: 949, x: 2317, y: 182.33331298828125, sound: 1
time: 955.7000000029802, x: 3714, y: 222.33331298828125, sound: 1
time: 965.4000000059605, x: 2282, y: 182.33331298828125, sound: 1
time: 972.5, x: 3728, y: 217.33331298828125, sound: 1
time: 982.2999999970198, x: 2245, y: 182.33331298828125, sound: 1
time: 989.2000000029802, x: 3733, y: 217.33331298828125, sound: 1
time: 999, x: 2210, y: 182.33331298828125, sound: 1
time: 1005.3999999910593, x: 3738, y: 217.33331298828125, sound: 1
time: 1015.7000000029802, x: 2181, y: 182.33331298828125, sound: 1
time: 1022.5, x: 3749, y: 214.33331298828125, sound: 1
time: 1032.1000000089407, x: 2154, y: 182.33331298828125, sound: 1
time: 1038.7999999970198, x: 3770, y: 211.33331298828125, sound: 1
time: 1038.8999999910593, x: 3770, y: 211.33331298828125, sound: 1
time: 1048.9000000059605, x: 2128, y: 182.33331298828125, sound: 1
time: 1055.7999999970198, x: 3784, y: 211.33331298828125, sound: 1
time: 1064.5999999940395, x: 3786, y: 211.33331298828125, sound: 1
time: 1065.6000000089407, x: 2106, y: 185.33331298828125, sound: 1
time: 1082.2000000029802, x: 2090, y: 185.33331298828125, sound: 1
time: 1098.9000000059605, x: 2072, y: 185.33331298828125, sound: 1
time: 1115.7000000029802, x: 2042, y: 185.33331298828125, sound: 1
time: 1132.2999999970198, x: 2008, y: 187.33331298828125, sound: 1
time: 1148.9000000059605, x: 1981, y: 187.33331298828125, sound: 1
time: 1165.7000000029802, x: 1960, y: 187.33331298828125, sound: 1
time: 1182.4000000059605, x: 1946, y: 187.33331298828125, sound: 1
time: 1198.9000000059605, x: 1930, y: 187.33331298828125, sound: 1
time: 1215.5, x: 1898, y: 187.33331298828125, sound: 1
time: 1232.2000000029802, x: 1866, y: 187.33331298828125, sound: 1
time: 1249, x: 1837, y: 190.33331298828125, sound: 1
time: 1265.7000000029802, x: 1821, y: 193.33331298828125, sound: 1
time: 4689.399999991059, x: 2536, y: 182.33331298828125, sound: 1
time: 4705.79999999702, x: 2456, y: 182.33331298828125, sound: 1
time: 4723, x: 2394, y: 182.33331298828125, sound: 1
time: 4739.399999991059, x: 2357, y: 182.33331298828125, sound: 1
time: 4756, x: 2336, y: 182.33331298828125, sound: 1
time: 4772.899999991059, x: 2317, y: 182.33331298828125, sound: 1
time: 4789.20000000298, x: 2282, y: 182.33331298828125, sound: 1
time: 4806.20000000298, x: 2245, y: 182.33331298828125, sound: 1
time: 4822.79999999702, x: 2210, y: 182.33331298828125, sound: 1
time: 4839.5, x: 2181, y: 182.33331298828125, sound: 1
time: 4855.79999999702, x: 2154, y: 182.33331298828125, sound: 1
time: 4872.5999999940395, x: 2128, y: 182.33331298828125, sound: 1
time: 4889.399999991059, x: 2106, y: 185.33331298828125, sound: 1
time: 4905.899999991059, x: 2090, y: 185.33331298828125, sound: 1
time: 4922.70000000298, x: 2072, y: 185.33331298828125, sound: 1
time: 4939.5, x: 2042, y: 185.33331298828125, sound: 1
time: 4956, x: 2008, y: 187.33331298828125, sound: 1
time: 4972.5999999940395, x: 1981, y: 187.33331298828125, sound: 1
time: 4989.399999991059, x: 1960, y: 187.33331298828125, sound: 1
time: 5006.0999999940395, x: 1946, y: 187.33331298828125, sound: 1
time: 5022.70000000298, x: 1930, y: 187.33331298828125, sound: 1
time: 5039.29999999702, x: 1898, y: 187.33331298828125, sound: 1
time: 5055.899999991059, x: 1866, y: 187.33331298828125, sound: 1
time: 5072.5999999940395, x: 1837, y: 190.33331298828125, sound: 1
time: 5089.399999991059, x: 1821, y: 193.33331298828125, sound: 1
time: 5105.5, x: 1802, y: 195.33331298828125, sound: 1
time: 5122.70000000298, x: 1789, y: 198.33331298828125, sound: 1
time: 5139.29999999702, x: 1776, y: 198.33331298828125, sound: 1
time: 5155.899999991059, x: 1773, y: 201.33331298828125, sound: 1
